site1,site2,objective,sample_id,latitude,longitude,status,spp,dbh_cm,tree_ht_m,age,elev_m,vpd_min,vpd_max,temp_min_c,temp_max_c,temp_mean_c,precip_mm,modis_npp,cwd_1981_2010,cwd_2041_2070,sol_rad30,slope,asw_mm,aspect,forest_group,stems_ha,sum_ht_m,mean_ht_m,crown_ha,trees15_ha,basal15_m2ha,drip_ba_m2,pvt,bai50_total,bai25_total,bai10_total,bai5_total,bai50_mean,bai25_mean,bai10_mean,bai5_mean,bai50_scaled_mean,bai25_scaled_mean,bai10_scaled_mean,bai5_scaled_mean
mal,mal1,N,050065,44.082446,-118.576522,D,PICO,38.7,23,187,1455.111033,0.75,14.19999981,-2.480999947,13.88000011,5.699999809,569.0540161,4717,176.9862366,214.6927032,187664.375,14.87622738,60.96,83.87303925,group2,146,3162.3,21.65958904,166,226.2,24.8,0.038013271,PIPO_Dry,42647.74231,21896.77984,6466.955911,3402.876401,852.9548462,875.8711938,646.6955911,680.5752803,0.772620875,0.83617784,0.20057455,0.294537615
mal,mal1,N,050075,44.082486,-118.576478,D,PICO,40.5,24,106,1452.47231,0.75,14.19999981,-2.480999947,13.88000011,5.699999809,569.0540161,4717,176.9862366,214.6927032,187664.375,12.23441792,60.96,88.74983978,group2,145,3109.2648,21.44320552,165,226.2,24.8,0.014215707,PIPO_Dry,94542.6762,50001.89938,14912.40676,5182.299927,1890.853524,2000.075975,1491.240676,1036.459985,0.421967864,0.556301133,-0.069518086,-0.628855259
mal,mal1,N,050082,44.082522,-118.576794,A,PIPO,72.6,28,325,1460.23965,0.75,14.19999981,-2.480999947,13.88000011,5.699999809,569.0540161,4717,176.9862366,214.6927032,190915.6719,16.58202934,60.96,81.23810577,group2,166,3349.1424,20.17555663,178,226.2,24.8,0.125663706,PIPO_Dry,45823.56952,21705.47005,7980.35911,3618.948861,916.4713905,868.2188019,798.035911,723.7897722,-0.534160806,-0.587703259,-0.665580204,-0.747965844
mal,mal1,Y,050093,44.082697,-118.576595,A,PSME,14.3,8,105,1454.737325,0.75,14.19999981,-2.480999947,13.88000011,5.699999809,569.0540161,4717,176.9862366,214.6927032,190915.6719,13.14343643,60.96,90.86962128,group2,144,2969.6664,20.62268333,165,226.2,24.8,0.246300864,PIPO_Dry,8889.420727,5431.197946,2831.203299,1433.340338,177.7884145,217.2479178,283.1203299,286.6680677,0.543081053,0.926531084,1.566650102,1.601125451
mal,mal1,Y,050105,44.082776,-118.576557,A,PICO,12.5,9,92,1454.866806,0.75,14.19999981,-2.480999947,13.88000011,5.699999809,569.0540161,4717,176.9862366,214.6927032,192170.0625,12.71308899,60.96,96.23051453,group2,139,2855.0616,20.54001151,155,226.2,24.8,0,PIPO_Dry,7336.804169,5003.878513,2272.06421,1345.842271,146.7360834,200.1551405,227.206421,269.1684541,-0.08481276,0.333211238,0.544897572,0.873266095
mal,mal1,Y,050112,44.082831,-118.57649,A,PIPO,40.5,25,347,1455.241853,0.75,14.19999981,-2.480999947,13.88000011,5.699999809,569.0540161,4717,176.9862366,214.6927032,192170.0625,12.26155949,60.96,101.2214432,group2,127,2599.6392,20.4696,152,226.2,24.8,0.013273229,PIPO_Dry,20692.23856,7005.792144,3987.611303,2092.308247,413.8447711,280.2316858,398.7611303,418.4616494,0.310661701,-0.213277368,0.251513986,0.328765938
mal,mal1,Y,050125,44.082664,-118.576437,A,PICO,32.5,28,112,1452.491509,0.75,14.19999981,-2.480999947,13.88000011,5.699999809,569.0540161,4717,176.9862366,214.6927032,189898.4219,11.37406349,60.96,92.7378006,group2,137,2910.5352,21.24478248,157,226.2,24.8,0.437545317,PIPO_Dry,54765.48972,23073.32954,7593.928448,4721.088993,1095.309794,922.9331816,759.3928448,944.2177986,0.492836504,0.174324856,-0.127859422,0.213653848
mal,mal1,N,050133,44.082703,-118.576605,A,PSME,51.2,31,117,1454.737325,0.75,14.19999981,-2.480999947,13.88000011,5.699999809,569.0540161,4717,176.9862366,214.6927032,190915.6719,13.14343643,60.96,90.86962128,group2,142,2915.7168,20.5332169,165,226.2,24.8,0.022698007,PIPO_Dry,120379.9557,56583.00537,29123.80043,13243.69799,2407.599114,2263.320215,2912.380043,2648.739598,0.78294603,0.654239938,1.233243204,0.998058908
mal,mal1,N,050142,44.082969,-118.576508,D,PIPO,37.7,15,453,1455.714531,0.75,14.19999981,-2.480999947,13.88000011,5.699999809,569.0540161,4717,176.9862366,214.6927032,192170.0625,11.85698318,60.96,102.5524292,group2,128,2535.0216,19.80485625,142,226.2,24.8,0,PIPO_Dry,28017.0299,12772.08713,6050.712477,2490.089483,560.3405981,510.8834851,605.0712477,498.0178966,0.554560467,0.362785623,0.728007983,0.312898032
mal,mal1,N,050152,44.082789,-118.576428,A,PIPO,76.2,39,403,1452.663703,0.75,14.19999981,-2.480999947,13.88000011,5.699999809,569.0540161,4717,176.9862366,214.6927032,192557.9219,11.25884342,60.96,99.27887726,group2,128,2726.1312,21.2979,148,226.2,24.8,0.296016568,PIPO_Dry,153751.7247,83635.18274,35884.15471,15326.29463,3075.034495,3345.40731,3588.415471,3065.258926,1.628452953,1.849938538,2.049007385,1.620444946
